"","지역","건축.연도","평당가격"
"704","중랑구",1999,3862.01775147929
"705","강남구",2000,3254.17777777778
"706","강동구",2000,3335
"707","강북구",2000,3565.90449438202
"708","강서구",2000,3514.91666666667
"709","관악구",2000,3380.98214285714
"710","광진구",2000,3765.30941704036
"711","구로구",2000,3671.6724137931
"712","금천구",2000,3628.85840707965
"713","노원구",2000,3406.42941176471
"714","도봉구",2000,3555.01666666667
"715","동대문구",2000,3645.89719626168
"716","동작구",2000,3288.84482758621
"717","마포구",2000,3243.95192307692
"718","서대문구",2000,3386.66666666667
"719","서초구",2000,2897.4
"720","성동구",2000,3765.48803827751
"721","성북구",2000,3459.89617486339
"722","송파구",2000,3210.13461538462
"723","양천구",2000,3482.975
"724","용산구",2000,3959.44230769231
"725","은평구",2000,3561.86991869919
"726","종로구",2000,3719.76315789474
"727","중구",2000,3968.72
"728","중랑구",2000,3536.5325443787
"729","강남구",2001,3461.74285714286
"730","강동구",2001,3290.30769230769
"731","강북구",2001,3578.14432989691
"732","강서구",2001,3256.72857142857
"733","관악구",2001,2824.86486486487
"734","광진구",2001,3890.65925925926
"735","구로구",2001,3319.76271186441
"736","금천구",2001,3489.9298245614
"737","노원구",2001,3670.37078651685
"738","도봉구",2001,3432.79347826087
"739","동대문구",2001,3505.10687022901
"740","동작구",2001,3111.20512820513
"741","마포구",2001,3650.20408163265
"742","서대문구",2001,3423.74712643678
"743","서초구",2001,2975.03448275862
"744","성동구",2001,3793.25
"745","성북구",2001,3417.73109243697
"746","송파구",2001,3379.55555555556
"747","양천구",2001,3263.65217391304
"748","용산구",2001,3426.11811023622
"749","은평구",2001,3780.82105263158
"750","종로구",2001,3991.13661202186
"751","중구",2001,4036.63316582915
"752","중랑구",2001,3514.24626865672
"753","강남구",2002,2906.6875
"754","강동구",2002,3258.88235294118
"755","강북구",2002,3337.80508474576
"756","강서구",2002,3536.16216216216
"757","관악구",2002,3214
"758","광진구",2002,3394.3961038961
"759","구로구",2002,3492.39436619718
"760","금천구",2002,3814.7358490566
"761","노원구",2002,3015.09782608696
"762","도봉구",2002,2933.32954545455
"763","동대문구",2002,3753.01369863014
"764","동작구",2002,2976.72222222222
"765","마포구",2002,3202.078125
"766","서대문구",2002,3062.77108433735
"767","서초구",2002,3067.48387096774
"768","성동구",2002,3510.8
"769","성북구",2002,3547.24031007752
"770","송파구",2002,2511.07692307692
"771","양천구",2002,3179.77941176471
"772","용산구",2002,3620.82558139535
"773","은평구",2002,2794.41095890411
"774","종로구",2002,3637.69736842105
"775","중구",2002,3546.95708154506
"776","중랑구",2002,3602.83846153846
"777","강남구",2003,3266.9552238806
"778","강동구",2003,3176.171875
"779","강북구",2003,3386.96363636364
"780","강서구",2003,3659.55905511811
"781","관악구",2003,3114.89393939394
"782","광진구",2003,3600.37113402062
"783","구로구",2003,3739.0625
"784","금천구",2003,3507.70212765957
"785","노원구",2003,3286.67105263158
"786","도봉구",2003,3363.24226804124
"787","동대문구",2003,3595.89071038251
"788","동작구",2003,3463.36363636364
"789","마포구",2003,3427.09803921569
"790","서대문구",2003,3602.38513513513
"791","서초구",2003,3407.9
"792","성동구",2003,3514.09826589595
"793","성북구",2003,3385.53801169591
"794","송파구",2003,3174.43055555556
"795","양천구",2003,3302.48529411765
"796","용산구",2003,3489.16184971098
"797","은평구",2003,3483.59146341463
"798","종로구",2003,3172.60087719298
"799","중구",2003,3455.63414634146
"800","중랑구",2003,3666.37704918033
"801","강남구",2004,3195.90909090909
"802","강동구",2004,2994.2619047619
"803","강북구",2004,3152.59420289855
"804","강서구",2004,3371.35779816514
"805","관악구",2004,3061.72727272727
"806","광진구",2004,3229.73593073593
