"","aptnm","지번주소","위도","경도"
"200","홍실아파트"," 삼성동 79","37.5199699152303","127.059637183864"
"201","수정"," 여의도동 32","37.523074169824","126.930834024629"
"202","아크로리버파크"," 반포동 2-12","37.5054572291322","126.992771916234"
"203","래미안 크레시티"," 전농동 690","37.5762290631959","127.050607073529"
"204","동궁리치웰문정(1차)"," 문정동 55-3","37.486775591593","127.122624838882"
"205","등촌1,2단지주공아파트"," 등촌동 687","37.5649734120019","126.842430453381"
"206","파크리오"," 신천동 17","37.5205366173754","127.10615089337"
"207","행당 한진타운"," 행당동 346","37.5558804553964","127.029207383318"
"208","반포자이"," 반포동 20-43","37.5063518132638","127.011034636758"
"209","반포자이"," 반포동 20-43","37.5063518132638","127.011034636758"
"210","목동신시가지11"," 신정동 325","37.5120560613111","126.858409872488"
"211","길음뉴타운2단지푸르지오"," 길음동 1280","37.6118263552925","127.016166325966"
"212","라이프미성"," 신사동 140-1","37.5894982225769","126.907778331354"
"213","역삼 I'PARK"," 역삼동 713-11","37.4993166898535","127.045793188009"
"214","LIP e-푸른아파트"," 개봉동 491","37.4930730724402","126.850096521487"
"215","두산"," 가산동 769","37.4760395859626","126.891719741887"
"216","목동신시가지14"," 신정동 329","37.5161909461632","126.870337507112"
"217","강변월드메르디앙"," 염창동 240-1","37.5577647356867","126.86537637911"
"218","더샵스타시티"," 자양동 227-7","37.5378031898538","127.072632021718"
"219","정릉풍림아이원"," 정릉동 239","37.6184876142783","127.007297911588"
"220","브라운스톤관악"," 봉천동 1721","37.4878124150224","126.957233855036"
"221","벽산"," 마곡동 429","37.5757346149338","126.837836153319"
"222","현대2"," 신사동 355","37.5979257512934","126.907107755526"
"223","삼성산주공(주공3단지)"," 신림동 1714","37.46250743022","126.926129237992"
"224","삼익"," 수서동 708","37.4891612481309","127.100945930371"
"225","해태"," 공항동 1371","37.5636765282958","126.815794483391"
"226","쌍용플래티넘노블"," 구로동 46","37.5011525300273","126.891397366533"
"227","중계무지개"," 중계동 512","37.6427209041194","127.066567506035"
"228","장미(시영6)"," 하계동 273","37.6337021175518","127.067865375948"
"229","청운현대"," 청운동 56-45","37.586205890259","126.967381797143"
"230","상계주공14(고층)"," 상계동 626","37.6691340218574","127.057453609395"
"231","현대한강"," 이촌동 400","37.5233240369668","126.957576158124"
"232","신림동신도브래뉴"," 신림동 1722","37.483710302599","126.911493016213"
"233","신트리1"," 신정동 1259","37.5137367146629","126.853687850909"
"234","은평뉴타운 마고정2단지"," 진관동 105","37.6334242331886","126.923974377572"
"235","현대1"," 풍납동 413-1","37.5293864522228","127.118902312279"
"236","한양7"," 쌍문동 158","37.6560145987519","127.033853936885"
"237","신반포8"," 잠원동 60-3","37.5116545437445","127.012376190147"
