"ÀÏ·Ã¹øÈ£","±¸ºÐÄÚµå","Áö¿ªÄÚµå","¾ð¾î","ÀÌ¸§","ÁÖ¼Ò","È¨ÆäÀÌÁö","ÀÌ¹ÌÁö¸í","ÀÌ¹ÌÁö°æ·Î","À§µµ","°æµµ","»ç¿ë¿©ºÎ"
"25","M002","H001","KOR","¼±À½Àç","Á¾·Î±¸ ºÏÃÌ·Î 94-14","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=507&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%84%A0%EC%9D%8C%EC%9E%AC&pn=1","SPM_1483618708658.jpg","/home/data/shp/place/","37.5849347","126.98554460000003","N"
"408","M002","H005","KOR","¿ÃÀç °Ô½ºÆ®ÇÏ¿ì½º","¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÍ¼±µ¿ 166-40¹øÁö","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=347","SPM_1523512774143.jpg","/home/data/shp/place/","37.573190","126.989856","N"
"68","M004","H001","KOR","³ªÀü°ú ¿ÌÄ¥","Á¾·Î±¸ °èµ¿4±æ 3","/front/kor/exp/expPlaceView.do?spmSeq=11&searchGubun=P100","SPM_1484645014877.jpg","/home/data/shp/place/","37.5822661","126.98704929999997","Y"
"71","M004","H001","KOR","¿ì¸®ºû±ò°ø¹æ","Á¾·Î±¸ ºÏÃÌ·Î11°¡±æ 14","http://hanok.seoul.go.kr/front/kor/exp/expPlaceView.do?spmSeq=14&searchGubun=P100","SPM_1485910809797.jpg","/home/data/shp/place/","37.582245","126.984039","Y"
"84","M006","H001","ENG","Bukchon Traditional Culture Center","37 Gyedong-gil Jongno-gu","http://121.126.244.177:9090/front/eng/exp/expCenter.do","SPM_1485845568023.jpg","/home/data/shp/place/","37.5790313","126.98640820000003","Y"
"98","M002","H001","ENG","Inwoo House","9 Gyedong 6-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=590&pcate=2&smarket[0]=&smarket[1]=&sword=Inwoo%20House&pn=1","SPM_1485849605244.jpg","/home/data/shp/place/","37.5826144","126.98710460000007","Y"
"48","M006","H001","KOR","³ªÀü°ú ¿ÌÄ¥","Á¾·Î±¸ °èµ¿4±æ 3","/front/kor/exp/expPlaceView.do?spmSeq=23&searchGubun=P300","SPM_1484640106505.jpg","/home/data/shp/place/","37.5822661","126.98704929999997","Y"
"65","M004","H001","KOR","È«º®Çå ÁöÇü°ø¹æ","Á¾·Î±¸ Ã¢´ö±Ã5±æ 10","/front/kor/exp/expPlaceView.do?spmSeq=8&searchGubun=P100","SPM_1485915585121.jpg","/home/data/shp/place/","37.583256","126.989288","Y"
"70","M004","H001","KOR","ÀüÅëÈ¥·Êº¸","Á¾·Î±¸ °èµ¿6±æ 13","http://hanok.seoul.go.kr/front/kor/exp/expPlaceView.do?spmSeq=13&searchGubun=P100","SPM_1484645118657.jpg","/home/data/shp/place/","37.582761","126.987133","Y"
"73","M005","H012","KOR","ÇýÈ­µ¿ ÁÖ¹Î¼¾ÅÍ","Á¾·Î±¸ ÇýÈ­·Î 12 ÇýÈ­µ¿ÁÖ¹Î¼¾ÅÍ","https://www.jongno.go.kr/dongMain.do?dong=12","SPM_1484806501678.jpg","/home/data/shp/place/","37.5868518","127.0006128","Y"
"96","M002","H002","ENG","Vine Guesthouse","68-3 Jahamun-ro Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=592&pcate=2&smarket[0]=&smarket[1]=&sword=Vine%20Guesthouse&pn=1","SPM_1485849400998.jpg","/home/data/shp/place/","37.5820781","126.9710427","Y"
"107","M002","H001","ENG","The E-oot by Seunghyo¡¯s House","35-3 Bukchon-ro 12-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=496&pcate=2&smarket[0]=&smarket[1]=&sword=The%20E-oot&pn=1","SPM_1485851414199.jpg","/home/data/shp/place/","37.5829268","126.9859285","Y"
"110","M002","H001","ENG","Mon Oncle a Seoul","15-3 Gyedong 4-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=473&pcate=2&smarket[0]=&smarket[1]=&sword=Mon%20Oncle&pn=1","SPM_1485851656763.jpg","/home/data/shp/place/","37.5825781","126.9875025","Y"
"99","M002","H001","ENG","Dahmsojung","16-2 Bukchon-ro 9-gil Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=589&pcate=2&smarket[0]=&smarket[1]=&sword=Dahmsojung&pn=1","SPM_1485849679392.jpg","/home/data/shp/place/","37.5813002","126.98432709999997","Y"
"106","M002","H001","ENG","Seoneum-jae","94-14 Bukchon-ro Jongno-gu","http://stay.visitseoul.net/eng/02_room_view.html?fmuid=507&pcate=2&smarket[0]=&smarket[1]=&sword=Seoneum-jae&pn=1","SPM_1485851335185.jpg","/home/data/shp/place/","37.5849347","126.98554460000003","Y"
"151","M006","H001","ENG","HongByeokheon Dakjongi Dolls Workshop","10 Changdeokgung 5-gil Jongno-gu","","SPM_1485935867544.jpg","/home/data/shp/place/","37.5832449","126.98928909999995","Y"
"31","M002","H001","KOR","ÇÑ¿Á°Ô½ºÆ®ÇÏ¿ì½º 201","Á¾·Î±¸ ºÏÃÌ·Î 40-3","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=458&pcate=2&smarket[0]=&smarket[1]=&sword=201&pn=1","SPM_1483619301288.jpg","/home/data/shp/place/","37.5804605","126.98537550000003","N"
"32","M002","H001","KOR","ºÏÃÌ¸¶·ç ÇÑ¿Á °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ Ã¢´ö±Ã±æ 152","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=454&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%B6%81%EC%B4%8C%EB%A7%88%EB%A3%A8&pn=1","SPM_1483619357822.jpg","/home/data/shp/place/","37.5831522","126.9875174","N"
"36","M002","H001","KOR","ÈÞ¾È","Á¾·Î±¸ ºÏÃÌ·Î6±æ 32-1","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=344&pcate=2&smarket[0]=&smarket[1]=&sword=%ED%9C%B4%EC%95%88&pn=1","SPM_1483620154297.jpg","/home/data/shp/place/","37.5801623","126.98653999999999","N"
"374","M002","H001","KOR","¿ì´ç","Á¾·Î±¸ °èµ¿±æ 53","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=707&pcate=2&smarket[0]=22&pn=1","SPM_1520382765059.jpg","/home/data/shp/place/","37.5796519","126.98658999999998","N"
"77","M005","H002","KOR","ÀÌ»óÀÇ Áý","Á¾·Î±¸ ÀÚÇÏ¹®·Î7±æ 18","http://www.isang.or.kr/","SPM_1484807031120.jpg","/home/data/shp/place/","37.5786029","126.97084940000002","Y"
"436","M002","H001","JPN","ÍÅà¾ÓÑ","ñ¤ÖØ&#21306; «æ«ë«´«¯«í 49-14","http://stay.visitseoul.net/jp/02_room_view.html?fmuid=309","SPM_1523580609044.jpg","/home/data/shp/place/","37.576629","126.984432","Y"
"317","M006","H001","JPN","«½«¦«ëùÛè©«»«ó«¿?","«½«¦«ë÷åÜ¬ã¼ ñ£ÖØ? «­«§«É«ó «­«ë 11-7","","SPM_1486114405042.jpg","/home/data/shp/place/","37.5802677","126.98747830000002","Y"
"337","M004","H001","ENG","Gahoe Museum","17 Bukchon-ro 12-gil Jongno-gu","/front/eng/exp/expPlaceView.do?spmSeq=44&searchGubun=P100","SPM_1486968710829.PNG","/home/data/shp/place/","37.5820903","126.98567159999993","Y"
"210","M002","H001","JPN","«¹«ó«Ò«ç«Í«¸«×","ñ¤ÖØ&#21306; ÝÁõ½ÖØ12«®«ë35-3","http://stay.visitseoul.net/jp/02_room_view.html?fmuid=496&pcate=2&smarket[0]=22&pn=1","SPM_1486103622029.jpg","/home/data/shp/place/","37.5829268","126.9859285","Y"
"241","M004","H001","CHN","?×û?íÂÛ©","âÏ??ÖØ?ÝÁõ½ÖØ12Ê¶ 10 (Ê©?Ô×)","","SPM_1486105704951.jpg","/home/data/shp/place/","37.581761","126.985603","Y"
"221","M002","H004","JPN","«à&#12540;«ó«²«¹«È«Ï«¦«¹","ñ¤ÖØ&#21306; ê£ÒúÔ× 87-1","http://stay.visitseoul.net/jp/02_room_view.html?fmuid=446&pcate=2&smarket[0]=22&pn=2","SPM_1486104044419.jpg","/home/data/shp/place/","37.5761966","126.98871759999997","Y"
"295","M006","H001","JPN","«Û«ó«Ó«ç«¯«Û«ó(ûõÜ¡úÍ)òµû¡ÍïÛ®","«½«¦«ëã¼«Á«ç«ó«Î«°(ñ¤ÖØ?)«Á«ã«ó«É«Ã«¯«ó5«®«ë10  (ê½à¤Ô×)","","SPM_1486113322212.jpg","/home/data/shp/place/","37.5832449","126.98928909999995","Y"
"328","M004","H001","KOR","»ïÇØ¼ÒÁÖ°¡","Á¾·Î±¸ »ïÃ»·Î9±æ 15","http://hanok.seoul.go.kr/front/kor/exp/expPlaceView.do?spmSeq=143&searchGubun=P100","SPM_1486947803228.jpg","/home/data/shp/place/","37.586943","126.981299","Y"
"346","M004","H001","ENG","Haneulmulbit","8 Changdeokgung 5-gil Jongno-gu","","SPM_1486970687352.PNG","/home/data/shp/place/","37.583191","126.989280","Y"
"180","M002","H001","JPN","ª­ªåª¦«²«¹«È«Ï«¦«¹","ñ£ÖØ&#21306;  «Ö«¯«Á«ç«ó«í «­«ë 3-6","http://www.xn--o39akk00q3qqa923d8rxvzec5cb3b.kr/","SPM_1486101646841.jpg","/home/data/shp/place/","37.5800691","126.9845034","N"
"212","M001","H001","JPN","«è«ó«À«ó?«²«¹«È«Ï«¦«¹","ñ£ÖØ?ÌýÔ×6«®«ë3","http://stay.visitseoul.net/jp/sub_view.html?fmuid=477&pcate=2&pcate2=7&pn=1","SPM_1486103678049.jpg","/home/data/shp/place/","37.5824775","126.98700570000005","Y"
"215","M002","H001","JPN","«½«¦«ëªµªóªºªó","ñ¤ÖØ&#21306; «±«É«ó4«®«ë 15-3","https://www.facebook.com/Mon.Oncle.A.Seoul/","SPM_1486103837793.jpg","/home/data/shp/place/","37.5825781","126.9875025","N"
"220","M002","H001","CHN","ÝÁõ½Úâß£&#38889;è©","£¿ÖØ£¿Ê¢Ô×2-164","http://stay.visitseoul.net/ck/02_room_view.html?fmuid=454&pcate=2&smarket[0]=22&pn=2","SPM_1486103998961.jpg","/home/data/shp/place/","37.5831522","126.9875174","Y"
"222","M002","H004","CHN","êÅÕÕ&#23486;&#39302;","£¿ã¼£¿ÖØ£¿éöÒúÔ×87-1","http://stay.visitseoul.net/ck/02_room_view.html?fmuid=446&pcate=2&smarket[0]=22&pn=2","SPM_1486104046853.jpg","/home/data/shp/place/","37.5761966","126.98871759999997","Y"
"19","M002","H002","KOR","¼¼Á¾ °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ ÀÚÇÏ¹®·Î 1¶ó±æ 16","http://stay.visitseoul.net/ko/sub_view.html?fmuid=588&pcate=2&smarket[0]=22&sword=&pn=2","SPM_1483618288815.jpg","/home/data/shp/place/","37.5771046","126.97076019999997","N"
"130","M005","H012","ENG","Hyehwa-dong Community Service Center","12 Hyehwa-ro Jongno-gu","www.jongno.go.kr/dongMain.do?dong=12","SPM_1485916306654.jpg","/home/data/shp/place/","37.5868518","127.0006128","Y"
"132","M005","H005","ENG","Seoul Donhwamun Treditional Theater","102 Yulgok-ro 8-gil Jongno-gu","http://www.sdtt.or.kr/","SPM_1485916692255.jpg","/home/data/shp/place/","37.5772009","126.99067390000005","Y"
