"","aptnm","경도","위도","number_of_bus_station","bus_dis","number_of_health_ins","health_dis","number_of_library","library_dis","number_of_park","park_dis","number_of_subway","subway_dis"
"89","진로,미주아파트",126.847028675022,37.559838467768,111,4.53760075074178e-07,169,6.12064084320898e-07,7,1.69784682978551e-06,2,3.62650943203408e-05,1,9.34710963741987e-05
"90","한라",127.025890636987,37.4715308560823,31,6.09955848511415e-07,25,7.17261274044444e-07,1,6.42405985696719e-05,2,3.64332478109479e-05,0,0.000226269537688285
"91","우성",127.077148229589,37.6067886910324,71,1.1501444285942e-07,100,1.0114927507413e-06,0,0.000143967258707709,0,0.000246309686109936,2,1.57621179324532e-05
"92","두산",127.068705662251,37.6126556534515,84,7.98171736049629e-06,108,1.85683991368782e-07,2,1.10047332755378e-05,0,0.000268446665058414,5,1.53052554371079e-05
"93","두산",127.016217362383,37.5500382701277,141,2.66188757419211e-07,164,4.27127938515413e-07,9,1.66256529561291e-05,3,7.76380884571058e-06,7,4.44719725599857e-06
"94","코오롱",127.065717692893,37.606282766343,52,3.50701238661688e-07,87,2.32674818255796e-06,1,5.18409437211553e-05,0,0.000231548250039317,3,2.2490676286925e-05
"95","월곡두산위브",127.038365407563,37.607033098723,116,3.01764489341445e-06,150,1.28105125880782e-07,3,1.28530048058704e-05,0,0.000187816106886486,1,3.39231368321696e-05
"96","삼성청담공원아파트",127.050536317213,37.5224202022399,31,5.67892105131389e-06,223,3.09299856070921e-06,3,8.67949158163647e-06,2,4.87117029822278e-06,2,1.83134404695359e-05
"97","수정",126.842070103124,37.512326188499,82,1.05501812600312e-07,64,1.89137922454898e-06,5,1.04688962314312e-06,1,3.70204836969933e-05,0,0.00017609585269706
"98","남가좌동현대",126.920125943504,37.5749918612212,96,3.98242346361094e-07,88,2.11777551972602e-07,2,3.07148777203894e-06,1,4.34733607671936e-05,1,6.86460177648148e-05
"99","이편한세상 보문",127.015840868484,37.5826754585576,91,7.21973176398748e-07,131,1.36427059376154e-05,4,2.35959331448736e-05,2,4.28007791009931e-05,2,1.16252142219589e-05
"100","갑을",127.112570039664,37.5351465385321,25,1.00602537115897e-07,45,1.67821104039394e-05,1,8.96773154677402e-05,0,0.000276755690197528,1,8.11379673632383e-05
"101","문정시영",127.135446483827,37.4905977165307,66,1.56041434905906e-06,121,1.34446139818982e-06,2,8.75133925282352e-05,2,3.67034308846408e-05,2,5.26359664826318e-05
"102","삼성래미안",126.970474216959,37.4890992307068,65,6.6828082802762e-07,76,1.85910884925633e-06,2,3.50765483244347e-05,2,2.46583532901429e-05,1,2.14139748661306e-05
"103","미성",127.069541310656,37.634682675193,106,5.20022025902851e-07,90,2.3935693785315e-08,5,9.49322527249614e-06,0,0.000106019463711191,2,6.0227092779432e-06
"104","반포자이",127.011034636758,37.5063518132638,61,1.58254892597232e-06,167,1.92210533234156e-06,2,1.71754671748007e-05,0,0.000911504762469421,4,3.69164865446914e-06
"105","현대",127.018895964412,37.5436917758825,96,5.48687872093011e-06,85,4.73634449646751e-06,4,5.83802264580127e-06,2,5.34981941128419e-06,3,6.14654873808201e-06
"106","레이크팰리스",127.094277269984,37.5092678396302,46,5.22312777357021e-06,196,2.03008871820895e-06,1,4.00827628780795e-06,1,2.16363759881588e-05,5,5.79111480138569e-05
"107","마곡힐스테이트",126.817833791526,37.5640310805878,87,2.68824635728487e-06,88,7.69940353430779e-06,2,4.04655208132551e-05,0,0.000264614772550534,2,4.47581242182259e-05
"108","타워팰리스3",127.052829715042,37.4873363055886,63,4.25166300678838e-06,112,1.58816409463489e-06,3,5.04856630384656e-05,1,6.96352150342169e-05,5,1.85164372447373e-05
"109","휘경베스트빌현대",127.074189400955,37.5816647278231,77,7.24267314049363e-07,83,8.65661242938769e-06,0,0.000170437828980923,0,0.000100729660908392,0,0.000180297114736967
"110","정릉성원아파트 101동, 102동",127.008389043126,37.6065021367371,110,9.64684716601173e-07,55,3.70023750947265e-06,5,7.90934337076851e-06,0,0.000136028565167523,0,0.000252155343349543
"111","타워팰리스1",127.054439125962,37.4882232479436,62,3.72630334424698e-06,159,1.77904511244675e-06,3,3.06810659138175e-05,1,9.28259663475757e-05,5,7.59714193772956e-06
"112","상도두산위브",126.94332525587,37.5046327696867,116,6.16255716278299e-07,128,6.51175177210738e-07,5,1.17239157492681e-05,0,0.000110507551635816,3,1.99534358716323e-05
"113","LIG 대학마을(건영아파트3차)",126.942587158553,37.4668458417824,44,1.47940792771717e-05,28,2.73941443045974e-05,4,5.78069059280576e-06,1,2.3547977576998e-05,0,0.000244341717732846
"114","힐스테이트",127.052138909865,37.5412343020006,80,9.64361363353949e-07,82,2.06659688309551e-06,5,6.65660132942497e-06,1,1.28864760485002e-05,3,2.50622916398476e-05
"115","갈현현대",126.905613429723,37.6130165932898,55,7.78865902399423e-07,33,1.44696170981645e-05,4,7.37318660754031e-06,1,9.29701768101022e-05,0,0.000137161058583713
"116","백련산힐스테이트1차",126.925226536648,37.5924138318716,98,1.69279467982147e-06,126,1.77251367960759e-07,8,7.97402393853836e-06,1,3.12698910799331e-05,0,0.000131842529754015
"117","트리지움",127.091143733839,37.5099174003709,40,1.37008186999771e-06,272,1.62378720439823e-06,2,1.64731804452224e-05,1,6.01228472874156e-05,4,2.86202137988667e-05
"118","한신아파트",126.88803052732,37.4565209738324,40,1.26347370528032e-07,3,1.99478336255168e-06,3,2.94481074194283e-06,0,0.000348642570383169,2,4.04390184547762e-05
"119","신내",127.08487405604,37.6164130659246,76,9.7596910018088e-07,90,9.84786792679213e-06,3,5.70610863579361e-06,1,8.94004648190471e-05,3,1.40205298826843e-05
"120","서초아트자이",127.01156663881,37.4857140230717,87,7.49963131874416e-07,200,3.29713063595171e-08,1,6.6582217429293e-05,0,0.000237879121348661,5,2.21644793421638e-05
"121","동아에코빌",127.045423992015,37.6078992370885,90,1.45696201921559e-06,78,1.11100884717077e-07,3,2.44421983204097e-05,1,6.7118017995714e-05,2,1.25017287608824e-05
"122","극동",127.011630637835,37.5433115020991,90,4.76236395327354e-08,71,1.98967072823178e-08,4,3.570889508272e-06,2,9.14692618223777e-05,4,3.82674801931887e-05
"123","행당 한진타운",127.029207383318,37.5558804553964,148,1.61525919747709e-06,156,6.81007780677367e-07,7,5.50442410018927e-06,1,5.72007500896371e-05,6,3.00037427924527e-06
"124","동양파라곤",127.038136684255,37.5147469578798,57,3.72342444413983e-06,289,1.85322118547413e-06,4,7.27524552052729e-06,0,0.00010822396416486,6,1.49243968168865e-05
"125","행당 한진타운",127.029207383318,37.5558804553964,148,1.61525919747709e-06,156,6.81007780677367e-07,7,5.50442410018927e-06,1,5.72007500896371e-05,6,3.00037427924527e-06
"126","가락미륭아파트",127.128586141162,37.4937946759827,79,1.01454658614627e-06,143,1.2987150682761e-06,2,7.6405584529314e-05,1,5.84508930629688e-05,4,2.22581488715425e-05
"127","신내대림",127.088201260977,37.6160515822467,54,6.9584852701825e-07,39,7.77603291321708e-07,3,2.48263827825642e-06,1,4.659680351343e-05,2,1.03373762176724e-05
"128","성산시영(선경)",126.901892164797,37.5721152959697,65,4.71417580963411e-07,61,5.66611579346072e-06,4,6.04693703291236e-06,1,7.49222750254627e-05,4,1.54814970675132e-05
"129","백련산힐스테이트1차",126.925226536648,37.5924138318716,98,1.69279467982147e-06,126,1.77251367960759e-07,8,7.97402393853836e-06,1,3.12698910799331e-05,0,0.000131842529754015
"130","동양파라곤",127.070202436432,37.5485572754677,60,1.11011825666149e-07,100,2.29087521673033e-07,6,2.76386989184005e-06,0,0.000116691312202703,3,1.95881342364632e-05
"131","대림1",126.90485489938,37.553433582502,83,1.15553832652365e-06,101,6.63324330668433e-07,2,3.93251284018097e-06,1,8.70660282491308e-05,2,3.09199661594676e-05
"132","송파파크데일1단지",127.159109968729,37.4989573942833,23,1.64286333153757e-06,29,2.56261467333433e-05,1,5.01935791379781e-05,1,2.63183733723828e-06,1,5.9997977453913e-05
"133","석촌호수효성해링턴타워",127.10037230504,37.5065627773963,48,1.80203017139795e-06,172,9.85363604502446e-08,2,1.99662685792049e-05,1,4.43053602404481e-06,5,3.46236358262817e-05
"134","한진",126.851939768222,37.4846795429977,41,1.87220787766111e-06,42,1.98579778909191e-06,1,5.98817498671819e-05,1,2.9096611594414e-05,1,3.54466442480197e-05
"135","목동신시가지9",126.862404579736,37.5185420579875,86,2.98394759272868e-06,185,3.45553768052467e-06,7,6.06864638654364e-06,0,0.000149092527884509,4,5.23863008294533e-05
"136","동보수목원(16-36)",126.820867894574,37.4855718547383,43,1.76864789321155e-06,6,4.59352328519936e-05,0,0.000311393003391612,1,1.67195893794027e-05,3,5.12314647527287e-05
"137","목동삼성쉐르빌Ⅱ",126.870444393884,37.5216248301342,70,1.00022804930174e-06,189,1.75579377999978e-06,4,5.91862031626904e-06,0,0.000182246964112503,2,2.88019866563378e-05
"138","래미안 옥수 리버젠",127.013714834954,37.5451371536209,97,1.42674084424905e-06,121,2.80628796562377e-06,5,2.20490518349487e-06,2,4.61580444355532e-05,6,1.20083702996734e-05
"139","길음뉴타운4단지(e편한세상)",127.019648869071,37.6120673819839,87,1.5192118523229e-06,129,1.79907607278537e-06,4,1.06835398886185e-05,0,0.000271519398076932,0,0.00010147425825731
"140","삼성서초가든스위트",127.026244690732,37.4941335729758,108,9.40579366952267e-07,528,1.9172388538561e-06,3,6.04898802574012e-06,0,0.000367629697382015,1,1.26904593439627e-05
"141","목동신시가지14",126.870337507112,37.5161909461632,61,1.19388757254551e-06,125,1.73841309928602e-06,4,9.07609246850879e-06,1,6.56898423238624e-05,2,3.95081473958887e-05
"142","태솔에버빌",127.020873232338,37.6316297720852,116,5.37394496319934e-06,196,1.7472674275624e-06,3,1.35830634492972e-05,0,0.000119161489619461,2,5.01433832332809e-05
"143","더메디치",126.830064811434,37.4879733799652,82,1.28033210993288e-06,19,3.09719453784017e-05,0,0.000204153384909742,1,6.03846573693605e-05,3,5.7972441683927e-05
"144","삼성래미안",126.915348177676,37.5053661207157,121,7.4746534646636e-07,124,1.21375098983947e-05,7,2.59414510658424e-05,0,0.000123101082149938,2,5.45595303255887e-05
"145","진흥아파트",127.022614070225,37.4973456019219,111,7.23904097392775e-07,633,1.17769671652153e-06,2,3.30698089316978e-05,0,0.000552105992626918,4,2.96100674249203e-05
"146","래미안위브",127.053951855019,37.5720377764558,75,1.1730510150982e-06,146,2.91826847177708e-06,2,3.54509041707288e-05,2,2.73366913594558e-05,2,2.85309328000891e-05
"147","신안네트빌1단지",126.810174645333,37.5710588449288,70,2.8720702139766e-06,112,9.01285863760003e-07,5,1.98899551805097e-05,0,0.000113416203180973,2,1.66735760084394e-05
"148","신림큐브",126.932054229593,37.4855860298558,102,1.93869740118922e-06,165,6.82705218499372e-07,8,6.92180936076398e-06,1,8.72187371708396e-05,1,7.97292911099176e-06
"149","방화3차태승훼미리",126.808467466217,37.5680313599731,73,9.69847243877947e-06,97,9.96827852444843e-06,4,4.70740114172096e-06,0,0.000181187190937554,4,2.30753687288005e-05
